Time Step,Actuator Position Array
0.0,10.0
0.14285714285714285,10.0
0.2857142857142857,10.0
0.42857142857142855,10.0
0.5714285714285714,10.0
0.7142857142857142,10.0
0.8571428571428571,10.0
1.0,10.0
1.1428571428571428,10.0
1.2857142857142856,10.0
1.4285714285714284,10.0
1.5714285714285714,10.0
1.7142857142857142,10.0
1.857142857142857,10.0
2.0,10.0
2.142857142857143,10.0
2.2857142857142856,10.0
2.4285714285714284,10.0
2.571428571428571,10.0
2.714285714285714,10.0
2.8571428571428568,10.0
3.0,10.0
3.142857142857143,10.0
3.2857142857142856,10.0
3.4285714285714284,10.0
3.571428571428571,10.0
3.714285714285714,10.0
3.8571428571428568,10.0
4.0,10.0
4.142857142857142,10.0
4.285714285714286,10.0
4.428571428571428,10.0
4.571428571428571,10.0
4.714285714285714,10.0
4.857142857142857,10.0
5.0,10.0
5.142857142857142,10.0
5.285714285714286,10.0
5.428571428571428,10.0
5.571428571428571,10.0
5.7142857142857135,10.0
5.857142857142857,10.0
6.0,10.0
6.142857142857142,10.0
6.285714285714286,10.0
6.428571428571428,10.0
6.571428571428571,10.0
6.7142857142857135,10.0
6.857142857142857,10.0
7.0,10.0
