temp_buffers,times_ms_buffers,Time
29.252228,340,15:11:08:522000
29.252228,1240,15:11:09:422000
29.263569,2140,15:11:10:322000
0.0,0,15:11:08:182000
29.24531,3040,15:11:11:222000
29.252838,3940,15:11:12:122000
29.278748,4840,15:11:13:022000
0.0,0,15:11:08:182000
29.282425,5740,15:11:13:922000
29.293747,6640,15:11:14:822000
29.279358,7540,15:11:15:722000
29.249922,8440,15:11:16:622000
29.242714,9340,15:11:17:522000
29.242832,10240,15:11:18:422000
29.210041,11140,15:11:19:322000
0.0,0,15:11:08:182000
29.210041,12040,15:11:20:222000
29.225044,12940,15:11:21:122000
29.25095,13840,15:11:22:022000
0.0,0,15:11:08:182000
29.302631,14740,15:11:22:922000
29.299088,15640,15:11:23:822000
29.336033,16540,15:11:24:722000
29.310429,17440,15:11:25:622000
29.317959,18340,15:11:26:522000
29.325455,19240,15:11:27:422000
29.35136,20140,15:11:28:322000
0.0,0,15:11:08:182000
29.381119,21040,15:11:29:222000
29.39597,21940,15:11:30:122000
29.322384,22840,15:11:31:022000
0.0,0,15:11:08:182000
29.315327,23740,15:11:31:922000
29.330044,24640,15:11:32:822000
29.352428,25540,15:11:33:722000
29.385693,26440,15:11:34:622000
29.396885,27340,15:11:35:522000
29.400888,28240,15:11:36:422000
29.415606,29140,15:11:37:322000
0.0,0,15:11:08:182000
29.434135,30040,15:11:38:222000
29.485802,30940,15:11:39:122000
29.474918,31840,15:11:40:022000
0.0,0,15:11:08:182000
29.482445,32740,15:11:40:922000
29.475218,33640,15:11:41:822000
29.47905,34540,15:11:42:722000
29.48656,35440,15:11:43:622000
29.472017,36340,15:11:44:522000
29.483187,37240,15:11:45:422000
29.509079,38140,15:11:46:322000
0.0,0,15:11:08:182000
29.487133,39040,15:11:47:222000
29.505684,39940,15:11:48:122000
29.494816,40840,15:11:49:022000
0.0,0,15:11:08:182000
29.47289,41740,15:11:49:922000
29.491423,42640,15:11:50:822000
29.48071,43540,15:11:51:722000
29.46231,44440,15:11:52:622000
29.47364,45340,15:11:53:522000
29.499548,46240,15:11:54:422000
29.54019,47140,15:11:55:322000
0.0,0,15:11:08:182000
29.532984,48040,15:11:56:222000
29.57374,48940,15:11:57:122000
29.592308,49840,15:11:58:022000
0.0,0,15:11:08:182000
29.61099,50740,15:11:58:922000
29.552122,51640,15:11:59:822000
29.537727,52540,15:12:00:722000
29.530523,53440,15:12:01:622000
29.578506,54340,15:12:02:522000
29.608248,55240,15:12:03:422000
29.648872,56140,15:12:04:322000
0.0,0,15:11:08:182000
29.663742,57040,15:12:05:222000
29.652842,57940,15:12:06:122000
29.656841,58840,15:12:07:022000
0.0,0,15:11:08:182000
