,temp_buffers,times_ms_buffers,Time Stamps
0,25.026508,136,18:02:48:825000
1,25.02666,436,18:02:49:125000
2,25.02283,736,18:02:49:425000
3,25.02283,1036,18:02:49:725000
4,25.018957,1336,18:02:50:025000
5,25.02283,1636,18:02:50:325000
6,25.030188,1936,18:02:50:625000
7,25.015469,2236,18:02:50:925000
8,25.02283,2536,18:02:51:225000
9,25.026508,2836,18:02:51:525000
10,25.026508,3136,18:02:51:825000
11,25.026508,3436,18:02:52:125000
12,25.030188,3736,18:02:52:425000
13,25.029995,4036,18:02:52:725000
14,25.022636,4336,18:02:53:025000
15,25.026316,4636,18:02:53:325000
16,25.030188,4936,18:02:53:625000
17,25.026316,5236,18:02:53:925000
18,25.033674,5536,18:02:54:225000
19,25.026316,5836,18:02:54:525000
20,25.026316,6136,18:02:54:825000
21,25.026316,6436,18:02:55:125000
22,25.022636,6736,18:02:55:425000
23,25.022636,7036,18:02:55:725000
24,25.026316,7336,18:02:56:025000
25,25.029995,7636,18:02:56:325000
26,25.029995,7936,18:02:56:625000
27,25.029995,8236,18:02:56:925000
28,25.029995,8536,18:02:57:225000
29,25.033674,8836,18:02:57:525000
30,25.033674,9136,18:02:57:825000
31,25.029995,9436,18:02:58:125000
32,25.033674,9736,18:02:58:425000
33,25.026167,10036,18:02:58:725000
34,25.033674,10336,18:02:59:025000
35,25.026167,10636,18:02:59:325000
36,25.033674,10936,18:02:59:625000
37,25.033674,11236,18:02:59:925000
38,25.033674,11536,18:03:00:225000
39,25.041035,11836,18:03:00:525000
40,25.037355,12136,18:03:00:825000
41,25.033525,12436,18:03:01:125000
42,25.037355,12736,18:03:01:425000
43,25.029846,13036,18:03:01:725000
44,25.029846,13336,18:03:02:025000
45,25.029846,13636,18:03:02:325000
46,25.037355,13936,18:03:02:625000
47,25.037355,14236,18:03:02:925000
48,25.041035,14536,18:03:03:225000
49,25.033674,14836,18:03:03:525000
50,25.037355,15136,18:03:03:825000
51,25.048393,15436,18:03:04:125000
52,25.037205,15736,18:03:04:425000
53,25.041035,16036,18:03:04:725000
54,25.044563,16336,18:03:05:025000
55,25.044712,16636,18:03:05:325000
56,25.051922,16936,18:03:05:625000
57,25.044563,17236,18:03:05:925000
58,25.044712,17536,18:03:06:225000
59,25.040882,17836,18:03:06:525000
60,25.040882,18136,18:03:06:825000
61,25.041035,18436,18:03:07:125000
62,25.037205,18736,18:03:07:425000
63,25.040882,19036,18:03:07:725000
64,25.05207,19336,18:03:08:025000
65,25.040882,19636,18:03:08:325000
66,25.037205,19936,18:03:08:625000
67,25.044563,20236,18:03:08:925000
68,25.040882,20536,18:03:09:225000
69,25.037205,20836,18:03:09:525000
70,25.037205,21136,18:03:09:825000
71,25.04824,21436,18:03:10:125000
72,25.051922,21736,18:03:10:425000
73,25.055752,22036,18:03:10:725000
74,25.05207,22336,18:03:11:025000
75,25.05207,22636,18:03:11:325000
76,25.06296,22936,18:03:11:625000
77,25.06296,23236,18:03:11:925000
78,25.05928,23536,18:03:12:225000
79,25.05943,23836,18:03:12:525000
80,25.055752,24136,18:03:12:825000
81,25.05207,24436,18:03:13:125000
82,25.051922,24736,18:03:13:425000
83,25.05928,25036,18:03:13:725000
84,25.05207,25336,18:03:14:025000
85,25.055601,25636,18:03:14:325000
86,25.051922,25936,18:03:14:625000
87,25.055752,26236,18:03:14:925000
88,25.04824,26536,18:03:15:225000
89,25.051922,26836,18:03:15:525000
90,25.040882,27136,18:03:15:825000
91,25.051922,27436,18:03:16:125000
92,25.04824,27736,18:03:16:425000
93,25.044712,28036,18:03:16:725000
94,25.05943,28336,18:03:17:025000
95,25.05207,28636,18:03:17:325000
96,25.048393,28936,18:03:17:625000
97,25.055601,29236,18:03:17:925000
98,25.055752,29536,18:03:18:225000
99,25.05943,29836,18:03:18:525000
100,25.05207,30136,18:03:18:825000
101,25.055752,30436,18:03:19:125000
102,25.055752,30736,18:03:19:425000
103,25.055752,31036,18:03:19:725000
104,25.05943,31336,18:03:20:025000
105,25.055752,31636,18:03:20:325000
106,25.048393,31936,18:03:20:625000
107,25.044712,32236,18:03:20:925000
108,25.044712,32536,18:03:21:225000
109,25.037355,32836,18:03:21:525000
110,25.044712,33136,18:03:21:825000
111,25.041225,33436,18:03:22:125000
112,25.048393,33736,18:03:22:425000
113,25.05207,34036,18:03:22:725000
114,25.037355,34336,18:03:23:025000
115,25.052261,34636,18:03:23:325000
116,25.052261,34936,18:03:23:625000
117,25.055943,35236,18:03:23:925000
118,25.048393,35536,18:03:24:225000
119,25.05207,35836,18:03:24:525000
120,25.055943,36136,18:03:24:825000
121,25.044903,36436,18:03:25:125000
122,25.052261,36736,18:03:25:425000
123,25.055943,37036,18:03:25:725000
124,25.063301,37336,18:03:26:025000
125,25.052261,37636,18:03:26:325000
126,25.052261,37936,18:03:26:625000
127,25.059622,38236,18:03:26:925000
128,25.063301,38536,18:03:27:225000
129,25.055943,38836,18:03:27:525000
130,25.055943,39136,18:03:27:825000
131,25.055943,39436,18:03:28:125000
132,25.059774,39736,18:03:28:425000
133,25.052261,40036,18:03:28:725000
134,25.048737,40336,18:03:29:025000
135,25.052261,40636,18:03:29:325000
136,25.048584,40936,18:03:29:625000
137,25.063454,41236,18:03:29:925000
138,25.055943,41536,18:03:30:225000
139,25.048737,41836,18:03:30:525000
140,25.048737,42136,18:03:30:825000
141,25.055943,42436,18:03:31:125000
142,25.059774,42736,18:03:31:425000
143,25.059774,43036,18:03:31:725000
144,25.059774,43336,18:03:32:025000
145,25.052416,43636,18:03:32:325000
146,25.052416,43936,18:03:32:625000
147,25.052568,44236,18:03:32:925000
148,25.045057,44536,18:03:33:225000
149,25.052416,44836,18:03:33:525000
150,25.056095,45136,18:03:33:825000
151,25.056248,45436,18:03:34:125000
152,25.04889,45736,18:03:34:425000
153,25.04889,46036,18:03:34:725000
154,25.04521,46336,18:03:35:025000
155,25.049023,46636,18:03:35:325000
156,25.059929,46936,18:03:35:625000
157,25.056248,47236,18:03:35:925000
158,25.04521,47536,18:03:36:225000
159,25.0527,47836,18:03:36:525000
160,25.045341,48136,18:03:36:825000
161,25.041664,48436,18:03:37:125000
162,25.04889,48736,18:03:37:425000
163,25.045341,49036,18:03:37:725000
164,25.052876,49336,18:03:38:025000
165,25.045341,49636,18:03:38:325000
166,0.0,0,18:02:48:689000
