GPIO,State,Tick,Diff,Time
21,0,2088494920,63925,15:55:58:320777
21,1,2088553656,58736,15:55:58:379519
21,0,2088607266,53610,15:55:58:433214
21,1,2088661556,54290,15:55:58:487164
21,0,2088714536,52980,15:55:58:540090
21,1,2088770846,56310,15:55:58:596742
21,0,2088825361,54515,15:55:58:651596
21,1,2088883436,58075,15:55:58:709627
21,0,2088937692,54256,15:55:58:763422
21,1,2088993022,55330,15:55:58:819015
21,0,2089045897,52875,15:55:58:871949
21,1,2089100522,54625,15:55:58:926910
21,0,2089152807,52285,15:55:58:978563
21,1,2089207777,54970,15:55:59:034201
21,0,2089261158,53381,15:55:59:087133
21,1,2089315488,54330,15:55:59:141071
21,0,2089368633,53145,15:55:59:194712
21,1,2089424698,56065,15:55:59:250549
21,0,2089480028,55330,15:55:59:306490
21,1,2089537194,57166,15:55:59:363585
21,0,2089590418,53224,15:55:59:416334
21,1,2089646578,56160,15:55:59:473135
21,0,2089701498,54920,15:55:59:527887
21,1,2089757669,56171,15:55:59:584100
21,0,2089810619,52950,15:55:59:637245
21,1,2089865799,55180,15:55:59:691996
21,0,2089918204,52405,15:55:59:744755
21,1,2089973754,55550,15:55:59:800545
21,0,2090027334,53580,15:55:59:853468
21,1,2090084799,57465,15:55:59:911253
21,0,2090140145,55346,15:55:59:967014
21,1,2090196935,56790,15:56:00:023809
21,0,2090250000,53065,15:56:00:076916
8,0,2090261015,278376,15:56:00:087393
21,1,2090304715,54715,15:56:00:131379
21,0,2090359435,54720,15:56:00:186282
21,1,2090417455,58020,15:56:00:244221
21,0,2090472100,54645,15:56:00:298368
21,1,2090528511,56411,15:56:00:355511
8,1,2090540726,279711,15:56:00:366891
21,0,2090584526,56015,15:56:00:411617
21,1,2090642486,57960,15:56:00:469453
21,0,2090697137,54651,15:56:00:524198
21,1,2090752761,55624,15:56:00:579349
8,0,2090768041,227315,15:56:00:594915
21,0,2090805811,53050,15:56:00:632826
21,1,2090862681,56870,15:56:00:689773
21,0,2090917882,55201,15:56:00:744607
21,1,2090976642,58760,15:56:00:803825
21,0,2091033247,56605,15:56:00:859959
21,1,2091092547,59300,15:56:00:919791
21,0,2091150967,58420,15:56:00:977585
21,1,2091210827,59860,15:56:01:038015
21,0,2091266207,55380,15:56:01:093021
21,1,2091322918,56711,15:56:01:150014
21,0,2091375193,52275,15:56:01:202143
21,1,2091430128,54935,15:56:01:257258
21,0,2091484483,54355,15:56:01:311003
21,1,2091542343,57860,15:56:01:369814
21,0,2091600273,57930,15:56:01:427605
21,1,2091663108,62835,15:56:01:490519
21,0,2091723494,60386,15:56:01:550484
21,1,2091781574,58080,15:56:01:608754
21,0,2091834469,52895,15:56:01:661892
21,1,2091889179,54710,15:56:01:716608
21,0,2091944509,55330,15:56:01:771429
21,1,2092006084,61575,15:56:01:833259
21,0,2092064924,58840,15:56:01:892496
21,1,2092123965,59041,15:56:01:951779
21,0,2092179665,55700,15:56:02:007574
21,1,2092239970,60305,15:56:02:067418
21,0,2092298415,58445,15:56:02:126230
21,1,2092357980,59565,15:56:02:185059
21,0,2092414430,56450,15:56:02:241857
21,1,2092472400,57970,15:56:02:299682
21,0,2092526346,53946,15:56:02:353596
21,1,2092581681,55335,15:56:02:408801
21,0,2092636941,55260,15:56:02:464947
21,1,2092695201,58260,15:56:02:522785
21,0,2092750101,54900,15:56:02:577601
21,1,2092805491,55390,15:56:02:633382
21,0,2092859002,53511,15:56:02:686486
21,1,2092916197,57195,15:56:02:743699
21,0,2092974947,58750,15:56:02:802655
21,1,2093035972,61025,15:56:02:863716
21,0,2093091227,55255,15:56:02:918915
21,1,2093149462,58235,15:56:02:977768
21,0,2093206992,57530,15:56:03:034801
21,1,2093267128,60136,15:56:03:094726
21,0,2093324833,57705,15:56:03:152691
21,1,2093385428,60595,15:56:03:213135
21,0,2093443593,58165,15:56:03:271322
21,1,2093501898,58305,15:56:03:330130
21,0,2093557184,55286,15:56:03:384929
21,1,2093615043,57859,15:56:03:442718
21,0,2093672444,57401,15:56:03:500941
21,1,2093733534,61090,15:56:03:561227
21,0,2093794059,60525,15:56:03:622046
21,1,2093858644,64585,15:56:03:686958
21,0,2093917309,58665,15:56:03:745753
21,1,2093975214,57905,15:56:03:803938
21,0,2094030289,55075,15:56:03:858135
21,1,2094090100,59811,15:56:03:917972
21,0,2094148770,58670,15:56:03:976799
21,1,2094209255,60485,15:56:04:037632
21,0,2094267035,57780,15:56:04:095503
21,1,2094325595,58560,15:56:04:154293
21,0,2094381495,55900,15:56:04:209498
21,1,2094441065,59570,15:56:04:269740
21,0,2094500246,59181,15:56:04:328572
21,1,2094560046,59800,15:56:04:388408
21,0,2094615871,55825,15:56:04:444177
21,1,2094675366,59495,15:56:04:504372
21,0,2094732376,57010,15:56:04:560679
21,1,2094790136,57760,15:56:04:618536
21,0,2094843921,53785,15:56:04:672328
21,1,2094899192,55271,15:56:04:728099
8,1,2094926992,4158951,15:56:04:755651
8,0,2094943777,16785,15:56:04:772098
21,0,2094953637,54445,15:56:04:782452
8,1,2094958362,14585,15:56:04:786737
8,0,2094971972,13610,15:56:04:801129
8,1,2094989212,17240,15:56:04:817535
8,0,2095006362,17150,15:56:04:834956
21,1,2095013557,59920,15:56:04:842272
8,1,2095025597,19235,15:56:04:854639
8,0,2095042927,17330,15:56:04:872090
8,1,2095061612,18685,15:56:04:890516
21,0,2095073322,59765,15:56:04:901885
8,0,2095082907,21295,15:56:04:911222
8,1,2095102442,19535,15:56:04:931671
8,0,2095120222,17780,15:56:04:949099
21,1,2095132787,59465,15:56:04:961466
8,1,2095135767,15545,15:56:04:964775
8,0,2095151542,15775,15:56:04:980175
8,1,2095170432,18890,15:56:04:999611
8,0,2095185262,14830,15:56:05:014001
21,0,2095187492,54705,15:56:05:016270
8,1,2095203697,18435,15:56:05:032675
8,0,2095219407,15710,15:56:05:048077
8,1,2095234382,14975,15:56:05:063509
21,1,2095245277,57785,15:56:05:073887
8,0,2095253017,18635,15:56:05:082222
8,1,2095268503,15486,15:56:05:097618
8,0,2095285498,16995,15:56:05:114027
8,1,2095299688,14190,15:56:05:128416
21,0,2095301378,56101,15:56:05:130690
8,0,2095316638,16950,15:56:05:145079
8,1,2095333648,17010,15:56:05:162530
8,0,2095350288,16640,15:56:05:178969
21,1,2095358808,57430,15:56:05:187301
8,1,2095365873,15585,15:56:05:194616
8,0,2095379753,13880,15:56:05:209008
8,1,2095399388,19635,15:56:05:228487
21,0,2095415208,56400,15:56:05:243906
8,0,2095416208,16820,15:56:05:245169
8,1,2095433888,17680,15:56:05:262593
8,0,2095452008,18120,15:56:05:281058
8,1,2095467253,15245,15:56:05:296487
21,1,2095477283,62075,15:56:05:305830
8,0,2095485553,18300,15:56:05:314160
8,1,2095502733,17180,15:56:05:331606
8,0,2095520723,17990,15:56:05:350124
8,1,2095535113,14390,15:56:05:363582
21,0,2095537523,60240,15:56:05:366880
8,0,2095552088,16975,15:56:05:381277
8,1,2095569968,17880,15:56:05:398707
8,0,2095586413,16445,15:56:05:415127
21,1,2095599123,61600,15:56:05:428516
8,1,2095600999,14586,15:56:05:429797
8,0,2095617783,16784,15:56:05:447236
8,1,2095634563,16780,15:56:05:463660
8,0,2095648874,14311,15:56:05:478057
21,0,2095658514,59391,15:56:05:487400
8,1,2095665729,16855,15:56:05:494726
8,0,2095680939,15210,15:56:05:510129
8,1,2095698059,17120,15:56:05:527545
8,0,2095716719,18660,15:56:05:545982
21,1,2095720019,61505,15:56:05:549305
8,1,2095732659,15940,15:56:05:561682
8,0,2095747634,14975,15:56:05:577113
8,1,2095762904,15270,15:56:05:591537
21,0,2095778369,58350,15:56:05:606944
8,0,2095779549,16645,15:56:05:608197
8,1,2095797180,17631,15:56:05:626632
8,0,2095812934,15754,15:56:05:642041
8,1,2095829449,16515,15:56:05:658481
21,1,2095837454,59085,15:56:05:666844
8,0,2095845019,15570,15:56:05:674162
8,1,2095862254,17235,15:56:05:691595
8,0,2095880169,17915,15:56:05:709014
21,0,2095893879,56425,15:56:05:723440
8,1,2095898639,18470,15:56:05:727735
8,0,2095914839,16200,15:56:05:744153
8,1,2095931699,16860,15:56:05:760576
8,0,2095949374,17675,15:56:05:778039
21,1,2095952039,58160,15:56:05:781327
8,1,2095963719,14345,15:56:05:792686
8,0,2095980389,16670,15:56:05:810119
8,1,2095997079,16690,15:56:05:826547
21,0,2096007049,55010,15:56:05:835899
8,0,2096013089,16010,15:56:05:842214
8,1,2096027169,14080,15:56:05:856580
8,0,2096046045,18876,15:56:05:875033
8,1,2096062920,16875,15:56:05:892472
21,1,2096063625,56576,15:56:05:892580
8,0,2096080950,18030,15:56:05:910005
