temp_buffers,times_ms_buffers,Time
29.230793,68,17:57:27:916000
29.253006,968,17:57:28:816000
29.293629,1868,17:57:29:716000
29.312178,2768,17:57:30:616000
29.323387,3668,17:57:31:516000
29.308784,4568,17:57:32:416000
29.29422,5468,17:57:33:316000
29.275957,6368,17:57:34:216000
29.254032,7268,17:57:35:116000
29.224771,8168,17:57:36:016000
29.202812,9068,17:57:36:916000
29.195608,9968,17:57:37:816000
29.210627,10868,17:57:38:716000
29.229025,11768,17:57:39:616000
29.236534,12668,17:57:40:516000
29.22931,13568,17:57:41:416000
29.240635,14468,17:57:42:316000
29.244316,15368,17:57:43:216000
29.203993,16268,17:57:44:116000
29.218994,17168,17:57:45:016000
29.189716,18068,17:57:45:916000
29.204584,18968,17:57:46:816000
29.226658,19868,17:57:47:716000
29.237831,20768,17:57:48:616000
29.245497,21668,17:57:49:516000
29.227102,22568,17:57:50:416000
29.22355,23468,17:57:51:316000
29.187065,24368,17:57:52:216000
29.164988,25268,17:57:53:116000
29.150557,26168,17:57:54:016000
29.135841,27068,17:57:54:916000
29.062561,27968,17:57:55:816000
29.073597,28868,17:57:56:716000
29.08109,29768,17:57:57:616000
29.107018,30668,17:57:58:516000
29.118187,31568,17:57:59:416000
29.114643,32468,17:58:00:316000
29.114798,33368,17:58:01:216000
29.100231,34268,17:58:02:116000
29.089462,35168,17:58:03:016000
29.063705,36068,17:58:03:916000
29.045479,36968,17:58:04:816000
29.06769,37868,17:58:05:716000
29.10111,38768,17:58:06:616000
29.097542,39668,17:58:07:516000
29.06075,40568,17:58:08:416000
29.038845,41468,17:58:09:316000
29.04283,42368,17:58:10:216000
29.050323,43268,17:58:11:116000
29.050457,44168,17:58:12:016000
29.050629,45068,17:58:12:916000
29.058117,45968,17:58:13:816000
29.039877,46868,17:58:14:716000
29.065783,47768,17:58:15:616000
29.080614,48668,17:58:16:516000
29.06607,49568,17:58:17:416000
29.08094,50468,17:58:18:316000
29.084751,51368,17:58:19:216000
29.103148,52268,17:58:20:116000
29.088718,53168,17:58:21:016000
29.088873,54068,17:58:21:916000
29.107422,54968,17:58:22:816000
29.100212,55868,17:58:23:716000
29.056217,56768,17:58:24:616000
29.056332,57668,17:58:25:516000
29.071217,58568,17:58:26:416000
29.100807,59468,17:58:27:316000
29.14141,60368,17:58:28:216000
29.163641,61268,17:58:29:116000
29.182207,62168,17:58:30:016000
29.185999,63068,17:58:30:916000
29.20087,63968,17:58:31:816000
29.2047,64868,17:58:32:716000
29.175404,65768,17:58:33:616000
29.164536,66668,17:58:34:516000
29.161142,67568,17:58:35:416000
29.153786,68468,17:58:36:316000
29.172466,69368,17:58:37:216000
29.146864,70268,17:58:38:116000
29.128582,71168,17:58:39:016000
29.121399,72068,17:58:39:916000
29.132584,72968,17:58:40:816000
29.106964,73868,17:58:41:716000
29.033527,74768,17:58:42:616000
29.018925,75668,17:58:43:516000
29.030138,76568,17:58:44:416000
29.030293,77468,17:58:45:316000
29.0378,78368,17:58:46:216000
29.019539,79268,17:58:47:116000
29.004955,80168,17:58:48:016000
29.008804,81068,17:58:48:916000
28.968468,81968,17:58:49:816000
28.913279,82868,17:58:50:716000
28.895187,83768,17:58:51:616000
28.840109,84668,17:58:52:516000
28.770374,85568,17:58:53:416000
28.79628,86468,17:58:54:316000
28.840435,87368,17:58:55:216000
