temp_buffers,times_ms_buffers,Time
0.23171306,136,11:41:46:229000
0.22485852,1036,11:41:47:129000
0.2078712,1936,11:41:48:029000
0.0,0,11:41:46:093000
0.22143126,2836,11:41:48:929000
0.2233684,3736,11:41:49:829000
0.2142787,4636,11:41:50:729000
0.0,0,11:41:46:093000
0.21338463,5536,11:41:51:629000
0.20995736,6436,11:41:52:529000
0.21278858,7336,11:41:53:429000
0.21666288,8236,11:41:54:329000
0.22411346,9136,11:41:55:229000
0.22128224,10036,11:41:56:129000
0.2168119,10936,11:41:57:029000
0.0,0,11:41:46:093000
0.22217631,11836,11:41:57:929000
0.22158027,12736,11:41:58:829000
0.21412969,13636,11:41:59:729000
0.0,0,11:41:46:093000
0.22426248,14536,11:42:00:629000
0.22470951,15436,11:42:01:529000
0.22023916,16336,11:42:02:429000
0.22158027,17236,11:42:03:329000
0.23022294,18136,11:42:04:229000
0.2193451,19036,11:42:05:129000
0.22619963,19936,11:42:06:029000
0.0,0,11:41:46:093000
0.20936131,20836,11:42:06:929000
0.21502376,21736,11:42:07:829000
0.21651387,22636,11:42:08:729000
0.0,0,11:41:46:093000
0.22113323,23536,11:42:09:629000
0.21621585,24436,11:42:10:529000
0.21144748,25336,11:42:11:429000
0.21442771,26236,11:42:12:329000
0.22411346,27136,11:42:13:229000
0.21666288,28036,11:42:14:129000
0.21830201,28936,11:42:15:029000
0.0,0,11:41:46:093000
0.2296269,29836,11:42:15:929000
0.22098422,30736,11:42:16:829000
0.21263957,31636,11:42:17:729000
0.0,0,11:41:46:093000
0.22605062,32536,11:42:18:629000
0.21725893,33436,11:42:19:529000
0.21323562,34336,11:42:20:429000
0.22247434,35236,11:42:21:329000
0.21517277,36136,11:42:22:229000
0.21621585,37036,11:42:23:129000
0.21845102,37936,11:42:24:029000
0.0,0,11:41:46:093000
0.21845102,38836,11:42:24:929000
0.21800399,39736,11:42:25:829000
0.2156198,40636,11:42:26:729000
0.0,0,11:41:46:093000
0.21457672,41536,11:42:27:629000
0.21889806,42436,11:42:28:529000
0.21487474,43336,11:42:29:429000
0.20414591,44236,11:42:30:329000
0.21666288,45136,11:42:31:229000
0.2194941,46036,11:42:32:129000
0.22128224,46936,11:42:33:029000
0.0,0,11:41:46:093000
0.21964312,47836,11:42:33:929000
0.22172928,48736,11:42:34:829000
0.22262335,49636,11:42:35:729000
0.0,0,11:41:46:093000
0.2194941,50536,11:42:36:629000
0.22158027,51436,11:42:37:529000
0.21755695,52336,11:42:38:429000
0.21710992,53236,11:42:39:329000
0.21129847,54136,11:42:40:229000
0.2078712,55036,11:42:41:129000
0.2168119,55936,11:42:42:029000
0.0,0,11:41:46:093000
0.21368265,56836,11:42:42:929000
0.22470951,57736,11:42:43:829000
0.2168119,58636,11:42:44:729000
0.0,0,11:41:46:093000
