GPIO,State,Tick,Diff,Time
21,1,849618796,41270,16:30:45:423986
21,0,849658791,39995,16:30:45:464404
21,1,849701366,42575,16:30:45:506894
21,0,849740621,39255,16:30:45:546399
21,1,849782587,41966,16:30:45:587796
21,0,849822222,39635,16:30:45:627729
21,1,849863692,41470,16:30:45:669374
16,1,849869262,199986,16:30:45:674605
21,0,849903037,39345,16:30:45:707980
21,1,849944162,41125,16:30:45:749475
21,0,849981587,37425,16:30:45:786589
21,1,850021642,40055,16:30:45:827295
21,0,850060747,39105,16:30:45:866510
16,0,850069247,199985,16:30:45:874709
21,1,850102072,41325,16:30:45:907193
21,0,850140977,38905,16:30:45:946717
21,1,850182638,41661,16:30:45:988412
21,0,850222843,40205,16:30:46:027777
21,1,850264548,41705,16:30:46:070298
16,1,850269233,199986,16:30:46:074436
21,0,850303048,38500,16:30:46:108868
21,1,850344603,41555,16:30:46:150171
21,0,850385953,41350,16:30:46:191674
21,1,850429408,43455,16:30:46:235277
16,0,850469224,199991,16:30:46:274793
21,0,850469303,39895,16:30:46:274969
21,1,850511068,41765,16:30:46:316066
21,0,850551268,40200,16:30:46:356455
21,1,850594489,43221,16:30:46:399941
21,0,850634699,40210,16:30:46:440432
16,1,850669209,199985,16:30:46:474829
21,1,850677354,42655,16:30:46:482335
21,0,850718244,40890,16:30:46:523786
21,1,850761524,43280,16:30:46:567341
21,0,850801364,39840,16:30:46:606699
21,1,850842424,41060,16:30:46:648042
16,0,850869200,199991,16:30:46:674709
21,0,850881824,39400,16:30:46:687132
21,1,850923014,41190,16:30:46:728839
21,0,850960850,37836,16:30:46:766690
21,1,851001980,41130,16:30:46:807462
21,0,851041795,39815,16:30:46:847151
16,1,851069185,199985,16:30:46:874839
21,1,851083930,42135,16:30:46:889211
21,0,851122710,38780,16:30:46:927850
21,1,851163930,41220,16:30:46:969577
21,0,851203170,39240,16:30:47:008213
21,1,851244635,41465,16:30:47:050050
16,0,851269171,199986,16:30:47:074688
21,0,851283330,38695,16:30:47:088320
21,1,851323411,40081,16:30:47:129031
21,0,851361756,38345,16:30:47:167522
21,1,851403721,41965,16:30:47:209044
21,0,851443351,39630,16:30:47:248523
16,1,851469162,199991,16:30:47:274873
21,1,851484531,41180,16:30:47:289505
21,0,851524861,40330,16:30:47:329989
21,1,851567811,42950,16:30:47:373591
21,0,851608121,40310,16:30:47:413109
21,1,851650541,42420,16:30:47:455941
16,0,851669147,199985,16:30:47:474547
21,0,851691016,40475,16:30:47:496066
21,1,851732026,41010,16:30:47:537610
21,0,851770572,38546,16:30:47:575987
21,1,851811477,40905,16:30:47:616352
21,0,851851912,40435,16:30:47:657609
16,1,851869132,199985,16:30:47:675002
21,1,851896912,45000,16:30:47:702352
21,0,851938932,42020,16:30:47:744601
21,1,851982872,43940,16:30:47:787824
21,0,852023787,40915,16:30:47:829606
21,1,852067442,43655,16:30:47:872990
16,0,852069123,199991,16:30:47:874380
21,0,852107208,39766,16:30:47:912652
21,1,852148033,40825,16:30:47:952989
21,0,852188363,40330,16:30:47:993353
21,1,852231303,42940,16:30:48:036818
16,1,852269108,199985,16:30:48:074135
21,0,852270948,39645,16:30:48:077119
21,1,852312933,41985,16:30:48:118776
21,0,852354048,41115,16:30:48:159089
21,1,852397248,43200,16:30:48:202597
21,0,852437613,40365,16:30:48:243027
16,0,852469093,199985,16:30:48:274374
21,1,852480328,42715,16:30:48:285817
21,0,852520398,40070,16:30:48:325416
21,1,852561404,41006,16:30:48:366892
21,0,852600124,38720,16:30:48:405616
21,1,852641154,41030,16:30:48:446852
16,1,852669084,199991,16:30:48:474211
21,0,852680949,39795,16:30:48:486708
21,1,852723374,42425,16:30:48:529025
21,0,852761584,38210,16:30:48:566438
