temp_buffers,times_ms_buffers,Time
43.823,408,15:03:51:682000
47.54069,1308,15:03:52:582000
54.685425,2208,15:03:53:482000
0.0,0,15:03:51:274000
49.32416,3108,15:03:54:382000
42.760635,4008,15:03:55:282000
41.273033,4908,15:03:56:182000
0.0,0,15:03:51:274000
53.748196,5808,15:03:57:082000
43.635517,6708,15:03:57:982000
44.558296,7608,15:03:58:882000
50.955452,8508,15:03:59:782000
49.25229,9408,15:04:00:682000
46.601692,10308,15:04:01:582000
56.001663,11208,15:04:02:482000
0.0,0,15:03:51:274000
42.19357,12108,15:04:03:382000
42.143623,13008,15:04:04:282000
51.7425,13908,15:04:05:182000
0.0,0,15:03:51:274000
42.669685,14808,15:04:06:082000
54.016747,15708,15:04:06:982000
46.125397,16608,15:04:07:882000
53.236885,17508,15:04:08:782000
44.46924,18408,15:04:09:682000
43.366776,19308,15:04:10:582000
47.847416,20208,15:04:11:482000
0.0,0,15:03:51:274000
45.41217,21108,15:04:12:382000
45.541996,22008,15:04:13:282000
44.970146,22908,15:04:14:182000
0.0,0,15:03:51:274000
48.884956,23808,15:04:15:082000
46.78168,24708,15:04:15:982000
52.164654,25608,15:04:16:882000
55.658867,26508,15:04:17:782000
49.96027,27408,15:04:18:682000
49.654205,28308,15:04:19:582000
50.770798,29208,15:04:20:482000
0.0,0,15:03:51:274000
53.336884,30108,15:04:21:382000
48.48333,31008,15:04:22:282000
49.176826,31908,15:04:23:182000
0.0,0,15:03:51:274000
53.787407,32808,15:04:24:082000
53.426834,33708,15:04:24:982000
54.459427,34608,15:04:25:882000
65.17307,35508,15:04:26:782000
49.567974,36408,15:04:27:682000
45.65667,37308,15:04:28:582000
47.992706,38208,15:04:29:482000
0.0,0,15:03:51:274000
51.40103,39108,15:04:30:382000
60.550358,40008,15:04:31:282000
52.793278,40908,15:04:32:182000
0.0,0,15:03:51:274000
54.40137,41808,15:04:33:082000
51.186234,42708,15:04:33:982000
56.52959,43608,15:04:34:882000
49.24627,44508,15:04:35:782000
53.798782,45408,15:04:36:682000
54.976566,46308,15:04:37:582000
55.698124,47208,15:04:38:482000
0.0,0,15:03:51:274000
53.706493,48108,15:04:39:382000
56.850693,49008,15:04:40:282000
55.065857,49908,15:04:41:182000
0.0,0,15:03:51:274000
56.873817,50808,15:04:42:082000
58.889492,51708,15:04:42:982000
58.152523,52608,15:04:43:882000
57.338326,53508,15:04:44:782000
60.089813,54408,15:04:45:682000
63.9869,55308,15:04:46:582000
62.546146,56208,15:04:47:482000
0.0,0,15:03:51:274000
58.09826,57108,15:04:48:382000
64.13645,58008,15:04:49:282000
58.60002,58908,15:04:50:182000
0.0,0,15:03:51:274000
