GPIO,State,Tick,Diff,Time
21,1,3457620109,45255,14:51:04:483671
21,0,3457665214,45105,14:51:04:529147
21,1,3457715514,50300,14:51:04:578814
21,0,3457762280,46766,14:51:04:626070
21,1,3457808795,46515,14:51:04:672776
21,0,3457854190,45395,14:51:04:718588
16,1,3457879605,199986,14:51:04:743880
21,1,3457901695,47505,14:51:04:765405
21,0,3457943475,41780,14:51:04:807549
21,1,3457985195,41720,14:51:04:849204
21,0,3458025830,40635,14:51:04:889659
21,1,3458069365,43535,14:51:04:933350
16,0,3458079595,199990,14:51:04:943539
21,0,3458110430,41065,14:51:04:974077
21,1,3458154680,44250,14:51:05:018584
21,0,3458197205,42525,14:51:05:061221
21,1,3458242555,45350,14:51:05:106786
16,1,3458279581,199986,14:51:05:144114
21,0,3458287021,44466,14:51:05:151296
21,1,3458332431,45410,14:51:05:196881
21,0,3458373556,41125,14:51:05:237597
21,1,3458415771,42215,14:51:05:279925
21,0,3458455431,39660,14:51:05:319448
16,0,3458479566,199985,14:51:05:343919
21,1,3458498311,42880,14:51:05:362307
21,0,3458541656,43345,14:51:05:405720
21,1,3458587576,45920,14:51:05:451682
21,0,3458629911,42335,14:51:05:494046
21,1,3458673207,43296,14:51:05:537880
16,1,3458679557,199991,14:51:05:543996
21,0,3458716152,42945,14:51:05:580074
21,1,3458764502,48350,14:51:05:628420
21,0,3458808707,44205,14:51:05:673178
21,1,3458852252,43545,14:51:05:716552
16,0,3458879542,199985,14:51:05:743978
21,0,3458893367,41115,14:51:05:758207
21,1,3458937042,43675,14:51:05:801843
21,0,3458980337,43295,14:51:05:845290
21,1,3459027398,47061,14:51:05:891702
21,0,3459073378,45980,14:51:05:938361
16,1,3459079528,199986,14:51:05:944586
21,1,3459119128,45750,14:51:05:984132
21,0,3459162173,43045,14:51:06:026580
21,1,3459210758,48585,14:51:06:074909
21,0,3459260898,50140,14:51:06:125080
16,0,3459279518,199990,14:51:06:144233
21,1,3459311878,50980,14:51:06:176435
21,0,3459358633,46755,14:51:06:223583
21,1,3459406134,47501,14:51:06:270772
21,0,3459450914,44780,14:51:06:315212
16,1,3459479504,199986,14:51:06:344412
21,1,3459497029,46115,14:51:06:361723
21,0,3459539079,42050,14:51:06:404086
21,1,3459580654,41575,14:51:06:445171
21,0,3459621204,40550,14:51:06:486217
21,1,3459667454,46250,14:51:06:532179
16,0,3459679489,199985,14:51:06:544233
21,0,3459714654,47200,14:51:06:579223
21,1,3459763304,48650,14:51:06:628294
21,0,3459806804,43500,14:51:06:671510
21,1,3459852680,45876,14:51:06:717445
16,1,3459879480,199991,14:51:06:744518
21,0,3459897615,44935,14:51:06:762613
21,1,3459944525,46910,14:51:06:809665
21,0,3459989840,45315,14:51:06:854653
21,1,3460037535,47695,14:51:06:902883
21,0,3460078505,40970,14:51:06:943053
16,0,3460079465,199985,14:51:06:944113
21,1,3460119875,41370,14:51:06:985329
21,0,3460161500,41625,14:51:07:026544
21,1,3460206690,45190,14:51:07:071568
21,0,3460251981,45291,14:51:07:116784
16,1,3460279451,199986,14:51:07:145016
21,1,3460296301,44320,14:51:07:161310
21,0,3460335711,39410,14:51:07:200787
21,1,3460375516,39805,14:51:07:240768
21,0,3460413576,38060,14:51:07:278826
21,1,3460454021,40445,14:51:07:318865
16,0,3460479436,199985,14:51:07:345463
21,0,3460494981,40960,14:51:07:360170
21,1,3460536567,41586,14:51:07:402292
21,0,3460572651,36084,14:51:07:437636
21,1,3460607946,35295,14:51:07:472766
21,0,3460639337,31391,14:51:07:504819
21,1,3460671487,32150,14:51:07:536962
16,1,3460679427,199991,14:51:07:545055
21,0,3460701417,29930,14:51:07:567275
21,1,3460733307,31890,14:51:07:598347
21,0,3460764887,31580,14:51:07:630403
21,1,3460798882,33995,14:51:07:664573
21,0,3460831487,32605,14:51:07:696598
21,1,3460866137,34650,14:51:07:731603
16,0,3460879412,199985,14:51:07:744751
21,0,3460900787,34650,14:51:07:765856
21,1,3460939587,38800,14:51:07:804956
21,0,3460978042,38455,14:51:07:843165
21,1,3461020243,42201,14:51:07:886196
21,0,3461062113,41870,14:51:07:927221
16,1,3461079398,199986,14:51:07:945288
21,1,3461108473,46360,14:51:07:974360
21,0,3461152923,44450,14:51:08:018414
21,1,3461198568,45645,14:51:08:064329
21,0,3461242488,43920,14:51:08:107789
16,0,3461279388,199990,14:51:08:144890
21,1,3461289873,47385,14:51:08:155162
21,0,3461336369,46496,14:51:08:201618
21,1,3461385838,49469,14:51:08:251249
21,0,3461433064,47226,14:51:08:299056
16,1,3461479374,199986,14:51:08:344744
21,1,3461481869,48805,14:51:08:347749
21,0,3461527814,45945,14:51:08:393260
21,1,3461576519,48705,14:51:08:441868
21,0,3461623089,46570,14:51:08:488520
21,1,3461674469,51380,14:51:08:540196
16,0,3461679364,199990,14:51:08:545085
21,0,3461724219,49750,14:51:08:589649
21,1,3461774524,50305,14:51:08:640218
21,0,3461821135,46611,14:51:08:686809
21,1,3461872740,51605,14:51:08:738515
16,1,3461879350,199986,14:51:08:745471
21,0,3461922200,49460,14:51:08:788072
21,1,3461973405,51205,14:51:08:841812
21,0,3462022590,49185,14:51:08:888805
21,1,3462074065,51475,14:51:08:940218
16,0,3462079335,199985,14:51:08:945170
21,0,3462122245,48180,14:51:08:987974
21,1,3462173820,51575,14:51:09:039420
21,0,3462224806,50986,14:51:09:091000
21,1,3462278201,53395,14:51:09:144490
16,1,3462279321,199986,14:51:09:145495
21,0,3462325696,47495,14:51:09:192081
21,1,3462374831,49135,14:51:09:241217
21,0,3462423221,48390,14:51:09:289102
21,1,3462475651,52430,14:51:09:342001
16,0,3462479311,199990,14:51:09:345295
21,0,3462525036,49385,14:51:09:390958
21,1,3462575381,50345,14:51:09:442187
21,0,3462621927,46546,14:51:09:488320
21,1,3462669877,47950,14:51:09:535824
16,1,3462679297,199986,14:51:09:545912
21,0,3462716332,46455,14:51:09:582271
21,1,3462765557,49225,14:51:09:631788
21,0,3462814343,48786,14:51:09:681157
21,1,3462865102,50759,14:51:09:731688
16,0,3462879282,199985,14:51:09:745905
21,0,3462913592,48490,14:51:09:780329
21,1,3462964152,50560,14:51:09:829978
21,0,3463012688,48536,14:51:09:879621
21,1,3463063838,51150,14:51:09:930183
16,1,3463079273,199991,14:51:09:945429
21,0,3463111428,47590,14:51:09:978204
21,1,3463160318,48890,14:51:10:026967
21,0,3463207708,47390,14:51:10:074525
21,1,3463259423,51715,14:51:10:126138
16,0,3463279258,199985,14:51:10:145394
21,0,3463311438,52015,14:51:10:177809
21,1,3463366913,55475,14:51:10:233088
21,0,3463422509,55596,14:51:10:288619
16,1,3463479244,199986,14:51:10:346346
21,1,3463484884,62375,14:51:10:351442
21,0,3463543079,58195,14:51:10:410175
21,1,3463604084,61005,14:51:10:470891
21,0,3463662394,58310,14:51:10:528545
16,0,3463679234,199990,14:51:10:545799
21,1,3463722380,59986,14:51:10:589334
21,0,3463779244,56864,14:51:10:646074
21,1,3463836480,57236,14:51:10:703625
16,1,3463879220,199986,14:51:10:745547
21,0,3463889155,52675,14:51:10:755694
21,1,3463941715,52560,14:51:10:808356
21,0,3463989160,47445,14:51:10:855927
21,1,3464037885,48725,14:51:10:904488
16,0,3464079210,199990,14:51:10:945962
21,0,3464086075,48190,14:51:10:953094
21,1,3464137985,51910,14:51:11:004877
21,0,3464188891,50906,14:51:11:055472
21,1,3464241576,52685,14:51:11:109044
16,1,3464279196,199986,14:51:11:146604
21,0,3464292521,50945,14:51:11:159783
21,1,3464345861,53340,14:51:11:212447
21,0,3464394911,49050,14:51:11:261977
21,1,3464444986,50075,14:51:11:312685
16,0,3464479181,199985,14:51:11:346223
21,0,3464492786,47800,14:51:11:359791
21,1,3464543242,50456,14:51:11:410195
21,0,3464590857,47615,14:51:11:457990
21,1,3464639752,48895,14:51:11:507462
16,1,3464679167,199986,14:51:11:546664
21,0,3464686447,46695,14:51:11:553705
21,1,3464735062,48615,14:51:11:602798
21,0,3464781177,46115,14:51:11:648170
21,1,3464830522,49345,14:51:11:698113
21,0,3464878427,47905,14:51:11:746092
16,0,3464879157,199990,14:51:11:746226
21,1,3464927503,49076,14:51:11:794606
21,0,3464972313,44810,14:51:11:840230
21,1,3465019908,47595,14:51:11:886778
21,0,3465067673,47765,14:51:11:935289
16,1,3465079143,199986,14:51:11:946486
21,1,3465118558,50885,14:51:11:986020
21,0,3465166723,48165,14:51:12:034538
21,1,3465215123,48400,14:51:12:082156
