GPIO,State,Tick,Diff,Time
21,0,462498888,21080,09:42:51:836055
21,1,462521678,22790,09:42:51:853392
21,0,462542733,21055,09:42:51:874318
21,1,462564883,22150,09:42:51:896234
21,0,462585744,20861,09:42:51:917139
21,1,462608114,22370,09:42:51:939126
21,0,462629289,21175,09:42:51:961036
21,1,462651804,22515,09:42:51:982937
21,0,462673859,22055,09:42:52:004836
21,1,462697199,23340,09:42:52:028713
21,0,462718964,21765,09:42:52:050612
21,1,462742669,23705,09:42:52:074483
21,0,462765334,22665,09:42:52:096368
21,1,462788564,23230,09:42:52:120248
21,0,462810119,21555,09:42:52:141153
21,1,462832589,22470,09:42:52:164036
21,0,462854254,21665,09:42:52:185955
21,1,462876784,22530,09:42:52:207873
21,0,462897669,20885,09:42:52:228780
21,1,462919859,22190,09:42:52:251659
21,0,462941354,21495,09:42:52:272625
21,1,462964374,23020,09:42:52:295534
21,0,462985770,21396,09:42:52:317435
21,1,463008410,22640,09:42:52:340320
21,0,463029750,21340,09:42:52:361225
21,1,463052385,22635,09:42:52:384299
21,0,463073575,21190,09:42:52:404758
21,1,463096055,22480,09:42:52:427220
21,0,463118060,22005,09:42:52:449683
21,1,463140810,22750,09:42:52:472151
21,0,463162035,21225,09:42:52:493655
21,1,463184290,22255,09:42:52:516171
21,0,463205980,21690,09:42:52:537626
21,1,463228940,22960,09:42:52:560114
21,0,463249720,20780,09:42:52:581593
21,1,463271890,22170,09:42:52:603060
21,0,463293175,21285,09:42:52:624506
21,1,463315680,22505,09:42:52:646971
21,0,463336371,20691,09:42:52:667416
21,1,463358090,21719,09:42:52:689941
21,0,463379100,21010,09:42:52:710388
21,1,463401106,22006,09:42:52:732856
21,0,463421276,20170,09:42:52:752293
21,1,463442886,21610,09:42:52:774740
21,0,463463466,20580,09:42:52:795222
21,1,463485201,21735,09:42:52:816676
21,0,463505496,20295,09:42:52:837114
21,1,463527061,21565,09:42:52:858566
21,0,463548311,21250,09:42:52:880011
21,1,463570816,22505,09:42:52:902504
21,0,463591246,20430,09:42:52:922958
21,1,463612671,21425,09:42:52:944403
21,0,463633391,20720,09:42:52:964872
21,1,463655506,22115,09:42:52:987381
21,0,463675831,20325,09:42:53:007823
21,1,463697631,21800,09:42:53:029272
21,0,463719021,21390,09:42:53:050728
21,1,463741556,22535,09:42:53:073190
