GPIO,State,Tick,Diff,Time
21,0,1925866977,28800,10:07:15:184424
21,1,1925897832,30855,10:07:15:215132
21,0,1925927272,29440,10:07:15:244869
21,1,1925958977,31705,10:07:15:276551
21,0,1925988787,29810,10:07:15:306262
21,1,1926019302,30515,10:07:15:336966
21,0,1926048352,29050,10:07:15:365679
21,1,1926079177,30825,10:07:15:396380
21,0,1926108928,29751,10:07:15:426090
21,1,1926140313,31385,10:07:15:457847
21,0,1926169808,29495,10:07:15:487567
21,1,1926200573,30765,10:07:15:518265
21,0,1926230448,29875,10:07:15:548008
21,1,1926262174,31726,10:07:15:579694
21,0,1926292708,30534,10:07:15:610389
21,1,1926324598,31890,10:07:15:642073
21,0,1926354413,29815,10:07:15:671773
21,1,1926385663,31250,10:07:15:702643
21,0,1926415478,29815,10:07:15:732821
21,1,1926447783,32305,10:07:15:764999
21,0,1926477373,29590,10:07:15:795187
21,1,1926508379,31006,10:07:15:825796
21,0,1926538324,29945,10:07:15:855338
21,1,1926570644,32320,10:07:15:887931
21,0,1926600639,29995,10:07:15:918429
21,1,1926631764,31125,10:07:15:948894
21,0,1926660929,29165,10:07:15:978231
21,1,1926690919,29990,10:07:16:008732
21,0,1926718824,27905,10:07:16:036317
21,1,1926749204,30380,10:07:16:066869
21,0,1926779504,30300,10:07:16:097449
21,1,1926811674,32170,10:07:16:128890
21,0,1926842570,30896,10:07:16:160199
21,1,1926874754,32184,10:07:16:192556
21,0,1926905490,30736,10:07:16:223132
21,1,1926937730,32240,10:07:16:254703
21,0,1926968325,30595,10:07:16:286273
21,1,1926999270,30945,10:07:16:316780
21,0,1927029305,30035,10:07:16:347148
21,1,1927061675,32370,10:07:16:379517
21,0,1927093015,31340,10:07:16:411015
21,1,1927126395,33380,10:07:16:443592
21,0,1927159110,32715,10:07:16:476180
21,1,1927193160,34050,10:07:16:510795
21,0,1927224660,31500,10:07:16:542139
21,1,1927257630,32970,10:07:16:575474
21,0,1927288605,30975,10:07:16:606008
21,1,1927321201,32596,10:07:16:638497
21,0,1927352176,30975,10:07:16:670054
