temp_buffers,times_ms_buffers,Time
0.23379922,136,10:52:34:879000
0.23081899,1036,10:52:35:779000
0.230968,1936,10:52:36:679000
0.0,0,10:52:34:743000
0.22634864,2836,10:52:37:579000
0.22739172,3736,10:52:38:479000
0.22679567,4636,10:52:39:379000
0.0,0,10:52:34:743000
0.22485852,5536,10:52:40:279000
0.22888184,6436,10:52:41:179000
0.22858381,7336,10:52:42:079000
0.23365021,8236,10:52:42:979000
0.22813678,9136,10:52:43:879000
0.22500753,10036,10:52:44:779000
0.23305416,10936,10:52:45:679000
0.0,0,10:52:34:743000
0.22605062,11836,10:52:46:579000
0.22649765,12736,10:52:47:479000
0.2323091,13636,10:52:48:379000
0.0,0,10:52:34:743000
0.23335218,14536,10:52:49:279000
0.2259016,15436,10:52:50:179000
0.22783875,16336,10:52:51:079000
0.2233684,17236,10:52:51:979000
0.22649765,18136,10:52:52:879000
0.2335012,19036,10:52:53:779000
0.23528934,19936,10:52:54:679000
0.0,0,10:52:34:743000
0.22754073,20836,10:52:55:579000
0.23126602,21736,10:52:56:479000
0.22262335,22636,10:52:57:379000
0.0,0,10:52:34:743000
0.22396445,23536,10:52:58:279000
0.23290515,24436,10:52:59:179000
0.22515655,25336,10:53:00:079000
0.23961067,26236,10:53:00:979000
0.23558736,27136,10:53:01:879000
0.23156404,28036,10:53:02:779000
0.2297759,28936,10:53:03:679000
0.0,0,10:52:34:743000
0.23081899,29836,10:53:04:579000
0.23171306,30736,10:53:05:479000
0.2297759,31636,10:53:06:379000
0.0,0,10:52:34:743000
0.23812056,32536,10:53:07:279000
0.24467707,33436,10:53:08:179000
0.23454428,34336,10:53:09:079000
0.23514032,35236,10:53:09:979000
0.23692846,36136,10:53:10:879000
0.23946166,37036,10:53:11:779000
0.23692846,37936,10:53:12:679000
0.0,0,10:52:34:743000
0.23275614,38836,10:53:13:579000
0.23305416,39736,10:53:14:479000
0.23186207,40636,10:53:15:379000
0.0,0,10:52:34:743000
0.22605062,41536,10:53:16:279000
0.23633242,42436,10:53:17:179000
0.2259016,43336,10:53:18:079000
0.22217631,44236,10:53:18:979000
0.22888184,45136,10:53:19:879000
0.21725893,46036,10:53:20:779000
0.23052096,46936,10:53:21:679000
0.0,0,10:52:34:743000
0.21740794,47836,10:53:22:579000
0.218153,48736,10:53:23:479000
0.22545457,49636,10:53:24:379000
0.0,0,10:52:34:743000
0.2360344,50536,10:53:25:279000
0.23052096,51436,10:53:26:179000
0.22575259,52336,10:53:27:079000
0.22992492,53236,10:53:27:979000
0.2194941,54136,10:53:28:879000
0.22500753,55036,10:53:29:779000
0.22888184,55936,10:53:30:679000
0.0,0,10:52:34:743000
0.23528934,56836,10:53:31:579000
0.22813678,57736,10:53:32:479000
0.23126602,58636,10:53:33:379000
0.0,0,10:52:34:743000
