temp_buffers,times_ms_buffers,Time
29.98441,204,15:11:08:386000
29.999126,1104,15:11:09:286000
29.977356,2004,15:11:10:186000
0.0,0,15:11:08:182000
29.940699,2904,15:11:11:086000
29.955585,3804,15:11:11:986000
29.981493,4704,15:11:12:886000
0.0,0,15:11:08:182000
30.007177,5604,15:11:13:786000
29.99649,6504,15:11:14:686000
30.004137,7404,15:11:15:586000
30.004137,8304,15:11:16:486000
29.945461,9204,15:11:17:386000
29.938221,10104,15:11:18:286000
29.923824,11004,15:11:19:186000
0.0,0,15:11:08:182000
29.89807,11904,15:11:20:086000
29.8726,12804,15:11:20:986000
29.913223,13704,15:11:21:886000
0.0,0,15:11:08:182000
29.972263,14604,15:11:22:786000
30.012745,15504,15:11:23:686000
30.020182,16404,15:11:24:586000
30.02762,17304,15:11:25:486000
30.067867,18204,15:11:26:386000
30.082575,19104,15:11:27:286000
30.100943,20004,15:11:28:186000
0.0,0,15:11:08:182000
30.10855,20904,15:11:29:086000
30.083178,21804,15:11:29:986000
30.06132,22704,15:11:30:886000
0.0,0,15:11:08:182000
30.072546,23604,15:11:31:786000
30.08712,24504,15:11:32:686000
30.10564,25404,15:11:33:586000
30.127651,26304,15:11:34:486000
30.153307,27204,15:11:35:386000
30.1682,28104,15:11:36:286000
30.160915,29004,15:11:37:186000
0.0,0,15:11:08:182000
30.16469,29904,15:11:38:086000
30.146627,30804,15:11:38:986000
30.157707,31704,15:11:39:886000
0.0,0,15:11:08:182000
30.154232,32604,15:11:40:786000
30.172583,33504,15:11:41:686000
30.139938,34404,15:11:42:586000
30.114588,35304,15:11:43:486000
30.122046,36204,15:11:44:386000
30.114893,37104,15:11:45:286000
30.14417,38004,15:11:46:186000
0.0,0,15:11:08:182000
30.155231,38904,15:11:47:086000
30.12988,39804,15:11:47:986000
30.108192,40704,15:11:48:886000
0.0,0,15:11:08:182000
30.104696,41604,15:11:49:786000
30.12669,42504,15:11:50:686000
30.141584,43404,15:11:51:586000
30.152514,44304,15:11:52:486000
30.130941,45204,15:11:53:386000
30.116518,46104,15:11:54:286000
30.076612,47004,15:11:55:186000
0.0,0,15:11:08:182000
30.054901,47904,15:11:56:086000
30.026035,48804,15:11:56:986000
30.040781,49704,15:11:57:886000
0.0,0,15:11:08:182000
30.110287,50604,15:11:58:786000
30.102999,51504,15:11:59:686000
30.103321,52404,15:12:00:586000
30.114403,53304,15:12:01:486000
30.154629,54204,15:12:02:386000
30.202297,55104,15:12:03:286000
30.224308,56004,15:12:04:186000
0.0,0,15:11:08:182000
30.264534,56904,15:12:05:086000
30.293816,57804,15:12:05:986000
30.275917,58704,15:12:06:886000
0.0,0,15:11:08:182000
