GPIO,State,Tick,Diff,Time
16,1,3026048070,166661,15:11:55:135207
21,0,3026052010,123566,15:11:55:139514
8,0,3026068720,31900,15:11:55:155978
8,1,3026100665,31945,15:11:55:187625
8,0,3026132490,31825,15:11:55:219274
8,1,3026160490,28000,15:11:55:247848
21,1,3026173355,121345,15:11:55:260224
8,0,3026189575,29085,15:11:55:276664
16,0,3026214725,166655,15:11:55:302271
8,1,3026220525,30950,15:11:55:307578
8,0,3026248195,27670,15:11:55:335159
8,1,3026280255,32060,15:11:55:367792
21,0,3026291205,117850,15:11:55:378171
8,0,3026311565,31310,15:11:55:398650
8,1,3026339765,28200,15:11:55:427254
8,0,3026368561,28796,15:11:55:455826
16,1,3026381385,166660,15:11:55:468267
8,1,3026400185,31624,15:11:55:487750
21,1,3026413916,122711,15:11:55:501172
8,0,3026431341,31156,15:11:55:518604
8,1,3026463346,32005,15:11:55:550239
8,0,3026495116,31770,15:11:55:581854
8,1,3026526886,31770,15:11:55:614520
21,0,3026540336,126420,15:11:55:627949
16,0,3026548046,166661,15:11:55:635283
8,0,3026558776,31890,15:11:55:645647
8,1,3026586466,27690,15:11:55:673209
8,0,3026618496,32030,15:11:55:705876
8,1,3026648001,29505,15:11:55:735496
21,1,3026668056,127720,15:11:55:754934
8,0,3026680041,32040,15:11:55:767311
8,1,3026711601,31560,15:11:55:798961
16,1,3026714701,166655,15:11:55:802337
8,0,3026739811,28210,15:11:55:826877
8,1,3026767577,27766,15:11:55:854452
21,0,3026787641,119585,15:11:55:874933
8,0,3026799481,31904,15:11:55:886308
8,1,3026831222,31741,15:11:55:917947
8,0,3026862147,30925,15:11:55:949683
16,0,3026881362,166661,15:11:55:968165
8,1,3026893922,31775,15:11:55:981569
21,1,3026911527,123886,15:11:55:999008
8,0,3026922897,28975,15:11:56:010377
8,1,3026953227,30330,15:11:56:039952
8,0,3026985127,31900,15:11:56:072573
8,1,3027017042,31915,15:11:56:104210
21,0,3027037182,125655,15:11:56:124708
16,1,3027048022,166660,15:11:56:135068
8,0,3027048932,31890,15:11:56:136380
8,1,3027080822,31890,15:11:56:167982
8,0,3027111467,30645,15:11:56:198591
8,1,3027143382,31915,15:11:56:230230
21,1,3027173322,136140,15:11:56:260837
8,0,3027175422,32040,15:11:56:262142
8,1,3027207148,31726,15:11:56:293745
16,0,3027214678,166656,15:11:56:302129
8,0,3027237203,30055,15:11:56:324669
8,1,3027269143,31940,15:11:56:356293
8,0,3027300983,31840,15:11:56:387897
8,1,3027332838,31855,15:11:56:419557
21,0,3027333043,159721,15:11:56:420832
8,0,3027364823,31985,15:11:56:452421
16,1,3027381338,166660,15:11:56:468862
8,1,3027394588,29765,15:11:56:481261
8,0,3027426533,31945,15:11:56:513874
8,1,3027453443,26910,15:11:56:540414
8,0,3027485358,31915,15:11:56:572998
21,1,3027504413,171370,15:11:56:591459
8,1,3027517188,31830,15:11:56:604851
8,0,3027545528,28340,15:11:56:632458
16,0,3027547999,166661,15:11:56:634740
8,1,3027577493,31965,15:11:56:664331
8,0,3027609359,31866,15:11:56:696982
8,1,3027641304,31945,15:11:56:728676
8,0,3027673229,31925,15:11:56:760327
8,1,3027705309,32080,15:11:56:792955
21,0,3027711299,206886,15:11:56:798282
16,1,3027714654,166655,15:11:56:801563
8,0,3027733184,27875,15:11:56:820051
8,1,3027762019,28835,15:11:56:848632
8,0,3027790234,28215,15:11:56:877219
8,1,3027822264,32030,15:11:56:909870
8,0,3027853179,30915,15:11:56:940464
16,0,3027881314,166660,15:11:56:968022
8,1,3027885224,32045,15:11:56:972320
21,1,3027901619,190320,15:11:56:988760
8,0,3027916404,31180,15:11:57:003145
8,1,3027943960,27556,15:11:57:030725
8,0,3027975989,32029,15:11:57:063375
8,1,3028007850,31861,15:11:57:094966
8,0,3028039825,31975,15:11:57:126620
16,1,3028047975,166661,15:11:57:134984
21,0,3028053390,151771,15:11:57:140297
8,1,3028071625,31800,15:11:57:158755
8,0,3028103395,31770,15:11:57:190381
8,1,3028130280,26885,15:11:57:216951
8,0,3028160340,30060,15:11:57:247542
8,1,3028192140,31800,15:11:57:279125
16,0,3028214631,166656,15:11:57:301631
8,0,3028223880,31740,15:11:57:311026
21,1,3028225290,171900,15:11:57:312293
8,1,3028255710,31830,15:11:57:342890
8,0,3028287485,31775,15:11:57:374510
8,1,3028319430,31945,15:11:57:406116
8,0,3028351285,31855,15:11:57:438759
16,1,3028381291,166660,15:11:57:468369
8,1,3028383140,31855,15:11:57:470653
21,0,3028410026,184736,15:11:57:497224
8,0,3028414146,31006,15:11:57:501510
8,1,3028444781,30635,15:11:57:532155
8,0,3028476751,31970,15:11:57:563756
8,1,3028508631,31880,15:11:57:595447
8,0,3028539631,31000,15:11:57:627124
16,0,3028547946,166655,15:11:57:635488
21,1,3028562631,152605,15:11:57:649902
8,1,3028571496,31865,15:11:57:658263
8,0,3028603381,31885,15:11:57:690899
8,1,3028635296,31915,15:11:57:722567
8,0,3028667216,31920,15:11:57:754174
8,1,3028699146,31930,15:11:57:785818
21,0,3028699866,137235,15:11:57:787129
16,1,3028714607,166661,15:11:57:801535
8,0,3028728536,29390,15:11:57:815999
8,1,3028760451,31915,15:11:57:847646
8,0,3028792377,31926,15:11:57:879262
8,1,3028824202,31825,15:11:57:910867
21,1,3028837517,137651,15:11:57:924313
