GPIO,State,Tick,Diff,Time
21,1,2899238791,86724,09:11:53:618783
8,0,2899263731,37215,09:11:53:643260
8,1,2899302171,38440,09:11:53:681863
21,0,2899318381,79590,09:11:53:698328
8,0,2899340487,38316,09:11:53:719783
8,1,2899378932,38445,09:11:53:758402
21,1,2899402042,83661,09:11:53:781880
8,0,2899417422,38490,09:11:53:797285
8,1,2899455842,38420,09:11:53:834900
21,0,2899481752,79710,09:11:53:861401
8,0,2899490127,34285,09:11:53:869723
8,1,2899528737,38610,09:11:53:908406
21,1,2899560382,78630,09:11:53:939968
8,0,2899567247,38510,09:11:53:946285
8,1,2899605782,38535,09:11:53:984901
21,0,2899636487,76105,09:11:54:015572
8,0,2899640177,34395,09:11:54:019868
8,1,2899678737,38560,09:11:54:058501
8,0,2899717247,38510,09:11:54:097226
21,1,2899717887,81400,09:11:54:097340
8,1,2899755813,38566,09:11:54:134947
21,0,2899794033,76146,09:11:54:173547
8,0,2899794353,38540,09:11:54:173655
8,1,2899832963,38610,09:11:54:212308
8,0,2899871523,38560,09:11:54:250915
21,1,2899872288,78255,09:11:54:252168
8,1,2899909913,38390,09:11:54:289753
8,0,2899948483,38570,09:11:54:328401
21,0,2899949253,76965,09:11:54:328512
8,1,2899984818,36335,09:11:54:364081
8,0,2900023098,38280,09:11:54:402705
21,1,2900028029,78776,09:11:54:408012
8,1,2900061573,38475,09:11:54:441567
8,0,2900100079,38506,09:11:54:479186
21,0,2900102793,74764,09:11:54:482464
8,1,2900138549,38470,09:11:54:518094
8,0,2900173869,35320,09:11:54:553682
21,1,2900178589,75796,09:11:54:557979
8,1,2900212434,38565,09:11:54:591568
8,0,2900248319,35885,09:11:54:628198
21,0,2900252579,73990,09:11:54:632497
8,1,2900281979,33660,09:11:54:661017
8,0,2900320439,38460,09:11:54:699659
21,1,2900331079,78500,09:11:54:711028
8,1,2900357444,37005,09:11:54:736519
8,0,2900393239,35795,09:11:54:773148
21,0,2900402369,71290,09:11:54:781486
8,1,2900429429,36190,09:11:54:809006
8,0,2900465029,35600,09:11:54:844627
21,1,2900476029,73660,09:11:54:856047
8,1,2900503769,38740,09:11:54:883354
8,0,2900541845,38076,09:11:54:921758
21,0,2900549635,73606,09:11:54:928869
8,1,2900577115,35270,09:11:54:956168
8,0,2900614665,37550,09:11:54:994556
21,1,2900624655,75020,09:11:55:003846
8,1,2900651620,36955,09:11:55:031362
